name
ETH Zurich 
Technion 
Max Planck Society 
Tel Aviv University 
University of Edinburgh 
University of Oxford 
TU Munich 
TU Darmstadt 
University College London 
Imperial College London 
TU Delft 
University of Cambridge 
Bar-Ilan University 
Hebrew University of Jerusalem 
University of Copenhagen 
University of Stuttgart 
Aalto University 
Aarhus University 
Ecole Normale Superieure 
Graz University of Technology 
Saarland University 
TU Wien 
Universidade de Lisboa 
University of Freiburg 
University of Liverpool 
University of Warwick 
University of Zurich 
Weizmann Institute of Science 
Cardiff University 
Ecole Normale Superieure de Lyon 
IST Austria 
IT University of Copenhagen 
KU Leuven 
Karlsruhe Institute of Technology
LMU Munich 
Politecnico di Milano 
RWTH Aachen 
TU Berlin 
University of Birmingham 
University of Bonn 
University of Bremen 
University of Bristol 
University of Sheffield 
University of Surrey 
