,doi,author_name
114,10.1145/1963405.1963500,Marcelo Mendoza
115,10.1145/1963405.1963500,Barbara Poblete
116,10.1145/3077136.3080667,Royal Sequiera
117,10.1145/3077136.3080667,Jimmy Lin
118,10.1145/1321440.1321575,Pawel Jurczyk
119,10.1145/1321440.1321575,Eugene Agichtein
120,10.1016/j.eswa.2014.06.009,Arman Khadjeh Nassirtoussi
121,10.1016/j.eswa.2014.06.009,Saeed Reza Aghabozorgi
122,10.1016/j.eswa.2014.06.009,Teh Ying Wah
123,10.1016/j.eswa.2014.06.009,David Chek Ling Ngo
124,10.1145/3311957.3359513,Ruchi Ookalkar
125,10.1145/3311957.3359513,Kolli Vishal Reddy
126,10.1145/3311957.3359513,Eric Gilbert
127,10.5860/choice.49-1894,Natalie Jomini Stroud
128,10.1111/j.1460-2466.2011.01543.x,Silvia Knobloch-Westerwick
129,10.1111/j.1460-2466.2011.01543.x,Jingbo Meng
130,10.1126/science.aaa1160,Eytan Bakshy
131,10.1126/science.aaa1160,Solomon Messing
132,10.1126/science.aaa1160,Lada A. Adamic
133,10.1111/j.1460-2466.2010.01497.x,Natalie Jomini Stroud
134,10.1145/2441955.2441981,Paul Resnick
135,10.1145/2441955.2441981,R. Kelly Garrett
136,10.1145/2441955.2441981,Travis Kriplean
137,10.1145/2441955.2441981,Sean A. Munson
138,10.1145/2441955.2441981,Natalie Jomini Stroud
139,10.1007/978-3-030-34223-4_14,Quentin Grossetti
140,10.1007/978-3-030-34223-4_14,Cédric du Mouza
141,10.1007/978-3-030-34223-4_14,Nicolas Travers
142,10.1145/3210284.3219769,Lisa Branz
143,10.1145/3210284.3219769,Patricia Brockmann
144,10.1109/ICSE.2003.1201253,Joanne McGrath Cohoon
145,10.1080/19378620902721322,Wendy Faulkner
146,10.1002/asi.21662,Mike Thelwall
147,10.1002/asi.21662,Kevan Buckley
148,10.1002/asi.21662,Georgios Paltoglou
149,10.18653/v1/S17-1007,Saif M. Mohammad
150,10.18653/v1/S17-1007,Felipe Bravo-Marquez
151,10.1007/978-3-319-07983-7_27,Ferran Plà
152,10.1007/978-3-319-07983-7_27,Lluís F. Hurtado
153,10.1016/j.knosys.2014.05.016,Felipe Bravo-Marquez
154,10.1016/j.knosys.2014.05.016,Marcelo Mendoza
155,10.1016/j.knosys.2014.05.016,Barbara Poblete
156,10.1145/3003433,Saif M. Mohammad
157,10.1145/3003433,Parinaz Sobhani
158,10.1145/3003433,Svetlana Kiritchenko
159,10.1515/jisys-2019-0106,Itisha Gupta
160,10.1515/jisys-2019-0106,Nisheeth Joshi
161,10.1007/978-3-319-98812-2_13,Yu Suzuki
162,10.1007/978-3-319-98812-2_13,Satoshi Nakamura 0001
163,10.1145/1835449.1835643,Bharath Sriram
164,10.1145/1835449.1835643,Dave Fuhry
165,10.1145/1835449.1835643,Engin Demir
166,10.1145/1835449.1835643,Hakan Ferhatosmanoglu
167,10.1145/1835449.1835643,Murat Demirbas
168,10.1145/2187980.2188035,Fabian Abel
169,10.1145/2187980.2188035,Claudia Hauff
170,10.1145/2187980.2188035,Geert-Jan Houben
171,10.1145/2187980.2188035,Richard Stronkman
172,10.1145/2187980.2188035,Ke Tao
173,10.18653/v1/e17-2068,Armand Joulin
174,10.18653/v1/e17-2068,Edouard Grave
175,10.18653/v1/e17-2068,Piotr Bojanowski
176,10.18653/v1/e17-2068,Tomas Mikolov
177,10.1007/978-3-642-20161-5_16,Omar Alonso
178,10.1007/978-3-642-20161-5_16,Ricardo Baeza-Yates
179,10.1007/978-1-4471-2099-5_1,David D. Lewis
180,10.1007/978-1-4471-2099-5_1,William A. Gale
181,10.1145/1864708.1864746,John Hannon
182,10.1145/1864708.1864746,Mike Bennett
183,10.1145/1864708.1864746,Barry Smyth
184,10.1145/1409360.1409378,Michele Banko
185,10.1145/1409360.1409378,Michael J. Cafarella
186,10.1145/1409360.1409378,Stephen Soderland
187,10.1145/1409360.1409378,M. Alexander Broadhead
188,10.1145/1409360.1409378,Oren Etzioni
189,10.1162/tacl_a_00051,Piotr Bojanowski
190,10.1162/tacl_a_00051,Edouard Grave
191,10.1162/tacl_a_00051,Armand Joulin
192,10.1162/tacl_a_00051,Tomas Mikolov
193,10.1145/2063576.2063941,Ibrahim Uysal
194,10.1145/2063576.2063941,W. Bruce Croft
195,10.1162/153244302760185243,Simon Tong
196,10.1162/153244302760185243,Daphne Koller
197,10.1145/138859.138861,Nicholas J. Belkin
198,10.1145/138859.138861,W. Bruce Croft
199,10.2197/ipsjjip.27.404,Yu Suzuki
200,10.1145/3297156.3297232,Rui Yao
201,10.1145/3297156.3297232,Yang Cao
202,10.1145/3297156.3297232,Zhiming Ding
203,10.1145/3297156.3297232,Limin Guo
204,10.1108/AJIM-04-2017-0098,Mike Thelwall
205,10.1108/AJIM-04-2017-0098,Farida Vis
206,10.1590/S0102-44501999000100006,Antonio P. Berber Sardinha
207,10.1177/074391569501400106,Scot Burton
208,10.1177/074391569501400106,Richard G. Netemeyer
209,10.1177/074391569501400106,Donald R. Lichtenstein
210,10.1089/cyber.2014.0479,Sonja Utz
211,10.1089/cyber.2014.0479,Nicole L. Muscanell
212,10.1089/cyber.2014.0479,Cameran Khalid
213,10.1002/(SICI)1520-6653(199923)13:4<24::AID-DIR3>3.0.CO;2-O,Kim Bartel Sheehan
214,10.1016/j.chb.2014.04.048,Azar Eftekhar
215,10.1016/j.chb.2014.04.048,Chris Fullwood
216,10.1016/j.chb.2014.04.048,Neil Morris
217,10.1016/j.tele.2015.06.009,Aqdas Malik
218,10.1016/j.tele.2015.06.009,Amandeep Dhir
219,10.1016/j.tele.2015.06.009,Marko Nieminen
220,10.1177/0146167208320061,Laura E. Buffardi
221,10.1177/0146167208320061,W. Keith Campbell
222,10.22230/cjc.2014v39n4a2917,Laurence Clennett-Sirois
223,10.1080/1369118X.2014.987152,Martin R. Gibbs
224,10.1080/1369118X.2014.987152,James Meese
225,10.1080/1369118X.2014.987152,Michael Arnold
226,10.1080/1369118X.2014.987152,Bjorn Nansen
227,10.1080/1369118X.2014.987152,Marcus Carter
228,10.1027/1864-1105/a000076,Michele M. Strano
229,10.1027/1864-1105/a000076,Jill Wattai Queen
230,10.1016/j.chb.2008.02.012,Shanyang Zhao
231,10.1016/j.chb.2008.02.012,Sherri Grasmuck
232,10.1016/j.chb.2008.02.012,Jason Martin
233,10.1002/asi.v59:8,Mike Thelwall
234,10.1111/jcc4.12052,Monika Taddicken
235,10.1080/15551393.2014.955501,Hyunjin Seo
236,10.1177/1948550612460059,Laura R. Saslow
237,10.1177/1948550612460059,Amy Muise
238,10.1177/1948550612460059,Emily A. Impett
239,10.1177/1948550612460059,Matt Dubin
240,10.1177/1461444813520301,Sanja Kapidzic
241,10.1177/1461444813520301,Susan C. Herring
242,10.1177/1461444813504265,Meryl Alper
243,10.1145/1978942.1979110,Chen Zhao
244,10.1145/1978942.1979110,Gonglue Jiang
245,10.1016/j.chb.2016.05.044,Amandeep Dhir
246,10.1016/j.chb.2016.05.044,Torbjørn Torsheim
247,10.1145/1357054.1357225,Oded Nov
248,10.1145/1357054.1357225,Mor Naaman
249,10.1145/1357054.1357225,Chen Ye
250,10.1016/j.chb.2014.03.016,Sigal Tifferet
251,10.1016/j.chb.2014.03.016,Iris Vilnai-Yavetz
252,10.1016/j.chb.2010.03.018,Yair Amichai-Hamburger
