,score,id,url_num,author,title,venue,vol,pages,year,pub_type,key,doi,ee,url,num
139,,,,"[{'authorId': '1855372', 'name': 'M-Dyaa Albakour', 'url': 'https://www.semanticscholar.org/author/1855372'}, {'authorId': '145434248', 'name': 'Craig MacDonald', 'url': 'https://www.semanticscholar.org/author/145434248'}, {'authorId': '1698205', 'name': 'Iadh Ounis', 'url': 'https://www.semanticscholar.org/author/1698205'}]",On sparsity and drift for effective real-time filtering in microblogs,CIKM,,,2013,,,10.1145/2505515.2505709,,https://www.semanticscholar.org/paper/bf2621f18887b9a80b2eab3747716909a352f7a1,
140,,,,"[{'authorId': '117308261', 'name': 'Pei Lee', 'url': 'https://www.semanticscholar.org/author/117308261'}, {'authorId': '1708593', 'name': 'Laks V. S. Lakshmanan', 'url': 'https://www.semanticscholar.org/author/1708593'}, {'authorId': '1736641', 'name': 'Evangelos E. Milios', 'url': 'https://www.semanticscholar.org/author/1736641'}]",Incremental cluster evolution tracking from highly dynamic network data,2014 IEEE 30th International Conference on Data Engineering,,,2014,,,10.1109/ICDE.2014.6816635,,https://www.semanticscholar.org/paper/9edef972f382b156b9822cb2d546f0dbfb75aedd,
141,,,,"[{'authorId': '3026493', 'name': 'Yadong Zhu', 'url': 'https://www.semanticscholar.org/author/3026493'}, {'authorId': '37510256', 'name': 'Yanyan Lan', 'url': 'https://www.semanticscholar.org/author/37510256'}, {'authorId': '1777025', 'name': 'Jiafeng Guo', 'url': 'https://www.semanticscholar.org/author/1777025'}, {'authorId': '1717004', 'name': 'Xueqi Cheng', 'url': 'https://www.semanticscholar.org/author/1717004'}, {'authorId': '2944201', 'name': 'Shuzi Niu', 'url': 'https://www.semanticscholar.org/author/2944201'}]",Learning for search result diversification,SIGIR '14,,,2014,,,10.1145/2600428.2609634,,https://www.semanticscholar.org/paper/d4d1f7b9362db7fa4c06faa0e04f89d6eb2ed405,
142,,,,"[{'authorId': '1682418', 'name': 'Charu C. Aggarwal', 'url': 'https://www.semanticscholar.org/author/1682418'}, {'authorId': '145325584', 'name': 'Jiawei Han', 'url': 'https://www.semanticscholar.org/author/145325584'}, {'authorId': '2447408', 'name': 'Jianyong Wang', 'url': 'https://www.semanticscholar.org/author/2447408'}, {'authorId': '144019071', 'name': 'Philip S. Yu', 'url': 'https://www.semanticscholar.org/author/144019071'}]",A Framework for Clustering Evolving Data Streams,VLDB,,,2003,,,10.1016/B978-012722442-8/50016-1,,https://www.semanticscholar.org/paper/cbc2b5ada23f785b7897a498a2697c4109be616f,
143,,,,"[{'authorId': '143916459', 'name': 'Long Xia', 'url': 'https://www.semanticscholar.org/author/143916459'}, {'authorId': '39474114', 'name': 'Jun Xu', 'url': 'https://www.semanticscholar.org/author/39474114'}, {'authorId': '37510256', 'name': 'Yanyan Lan', 'url': 'https://www.semanticscholar.org/author/37510256'}, {'authorId': '1777025', 'name': 'Jiafeng Guo', 'url': 'https://www.semanticscholar.org/author/1777025'}, {'authorId': '1717004', 'name': 'Xueqi Cheng', 'url': 'https://www.semanticscholar.org/author/1717004'}]",Learning Maximal Marginal Relevance Model via Directly Optimizing Diversity Evaluation Measures,SIGIR '15,,,2015,,,10.1145/2766462.2767710,,https://www.semanticscholar.org/paper/55518bc01cee7a69f570e6008ccc46dee2120722,
144,,,,"[{'authorId': '31633511', 'name': 'Chen Lin', 'url': 'https://www.semanticscholar.org/author/31633511'}, {'authorId': '41224171', 'name': 'Chun Lin', 'url': 'https://www.semanticscholar.org/author/41224171'}, {'authorId': '8549633', 'name': 'Jingxuan Li', 'url': 'https://www.semanticscholar.org/author/8549633'}, {'authorId': '39472430', 'name': 'Dingding Wang', 'url': 'https://www.semanticscholar.org/author/39472430'}, {'authorId': '38032135', 'name': 'Yang Chen', 'url': 'https://www.semanticscholar.org/author/38032135'}, {'authorId': '36591125', 'name': 'Tao Li', 'url': 'https://www.semanticscholar.org/author/36591125'}]",Generating event storylines from microblogs,CIKM '12,,,2012,,,10.1145/2396761.2396787,,https://www.semanticscholar.org/paper/3d39ff76f71669e143174c4af0522f475fe1ebd8,
145,,,,"[{'authorId': '1693332', 'name': 'Manoj K. Agarwal', 'url': 'https://www.semanticscholar.org/author/1693332'}, {'authorId': '1704729', 'name': 'Krithi Ramamritham', 'url': 'https://www.semanticscholar.org/author/1704729'}, {'authorId': '12805286', 'name': 'Manish Bhide', 'url': 'https://www.semanticscholar.org/author/12805286'}]",Real Time Discovery of Dense Clusters in Highly Dynamic Graphs: Identifying Real World Events in Highly Dynamic Environments,PVLDB,,,2012,,,10.14778/2336664.2336671,,https://www.semanticscholar.org/paper/cb71ada39c7b1e6b0775a36086a4d652ccba1f09,
146,,,,"[{'authorId': '1406380732', 'name': 'Jaime Carbinell', 'url': 'https://www.semanticscholar.org/author/1406380732'}, {'authorId': '1403730511', 'name': 'Jade Goldstein-Stewart', 'url': 'https://www.semanticscholar.org/author/1403730511'}]","The Use of MMR, Diversity-Based Reranking for Reordering Documents and Producing Summaries",SIGF,,,1998,,,10.1145/3130348.3130369,,https://www.semanticscholar.org/paper/c669c8cb28c6d219419e0e904a795164e8c6be05,
147,,,,"[{'authorId': '2447204', 'name': 'Wubai Zhou', 'url': 'https://www.semanticscholar.org/author/2447204'}, {'authorId': '145954037', 'name': 'Chao Shen', 'url': 'https://www.semanticscholar.org/author/145954037'}, {'authorId': '36591125', 'name': 'Tao Li', 'url': 'https://www.semanticscholar.org/author/36591125'}, {'authorId': '1705664', 'name': 'Shu-Ching Chen', 'url': 'https://www.semanticscholar.org/author/1705664'}, {'authorId': '47599221', 'name': 'Ning Xie', 'url': 'https://www.semanticscholar.org/author/47599221'}]",Generating textual storyline to improve situation awareness in disaster management,Proceedings of the 2014 IEEE 15th International Conference on Information Reuse and Integration (IEEE IRI 2014),,,2014,,,10.1109/IRI.2014.7051942,,https://www.semanticscholar.org/paper/43340eb85cfe056987dcf0ab6ecccb1638220dee,
148,,,,"[{'authorId': '144128216', 'name': 'Lidan Shou', 'url': 'https://www.semanticscholar.org/author/144128216'}, {'authorId': '48708322', 'name': 'Zhenhua Wang', 'url': 'https://www.semanticscholar.org/author/48708322'}, {'authorId': '32811782', 'name': 'Ke Chen', 'url': 'https://www.semanticscholar.org/author/32811782'}, {'authorId': '48390827', 'name': 'Gang Chen', 'url': 'https://www.semanticscholar.org/author/48390827'}]",Sumblr: continuous summarization of evolving tweet streams,SIGIR '13,,,2013,,,10.1145/2484028.2484045,,https://www.semanticscholar.org/paper/de2792923e3f0f53f34ebd3b990498b17ab24b23,
