,score,id,url_num,author,title,venue,vol,pages,year,pub_type,key,doi,ee,url,num
12,2,995985,URL#995985,"[{'@pid': '219/2692', 'text': 'Elizabeth Healy'}, {'@pid': '219/2734', 'text': 'Husna Siddiqui'}, {'@pid': '119/0210', 'text': 'Aspen Olmsted'}]",Classifying influenza outbreaks by analyzing and filtering Twitter data.,ICITST,Null,205-207,2017,Conference and Workshop Papers,conf/icitst/HealySO17,10.23919/ICITST.2017.8356381,https://doi.org/10.23919/ICITST.2017.8356381,https://dblp.org/rec/conf/icitst/HealySO17,Null
13,2,1258566,URL#1258566,"[{'@pid': '160/8732', 'text': 'Feifan Fan'}, {'@pid': '25/2643', 'text': 'Yansong Feng'}, {'@pid': '56/10525', 'text': 'Lili Yao'}, {'@pid': '63/1870', 'text': 'Dongyan Zhao 0001'}]",Adaptive Evolutionary Filtering in Real-Time Twitter Stream.,CIKM,Null,1079-1088,2016,Conference and Workshop Papers,conf/cikm/FanFYZ16,10.1145/2983323.2983760,https://doi.org/10.1145/2983323.2983760,https://dblp.org/rec/conf/cikm/FanFYZ16,Null
14,2,1299418,URL#1299418,"[{'@pid': '182/7600', 'text': 'Briti Deb'}, {'@pid': '10/4497', 'text': 'Indrajit Mukherjee'}, {'@pid': '09/1571', 'text': 'Satish Narayana Srirama'}, {'@pid': '67/1948', 'text': 'Eero Vainikko'}]",A semantic followee recommender in Twitter using Topicmodel and Kalman filter.,ICCA,Null,649-656,2016,Conference and Workshop Papers,conf/icca/DebMSV16,10.1109/ICCA.2016.7505352,https://doi.org/10.1109/ICCA.2016.7505352,https://dblp.org/rec/conf/icca/DebMSV16,Null
15,2,1338193,URL#1338193,"[{'@pid': '02/7776', 'text': 'Yue Fei'}, {'@pid': '85/6478', 'text': 'Chao Lv'}, {'@pid': '25/2643', 'text': 'Yansong Feng'}, {'@pid': '63/1870', 'text': 'Dongyan Zhao 0001'}]",Real-time Filtering on Interest Profiles in Twitter Stream.,JCDL,Null,263-264,2016,Conference and Workshop Papers,conf/jcdl/FeiLFZ16,10.1145/2910896.2925462,https://doi.org/10.1145/2910896.2925462,https://dblp.org/rec/conf/jcdl/FeiLFZ16,Null
16,2,1382565,URL#1382565,"[{'@pid': '32/6896', 'text': 'Alberto Bartoli'}, {'@pid': '83/2099', 'text': 'Barbara Carminati'}, {'@pid': 'f/ElenaFerrari', 'text': 'Elena Ferrari'}, {'@pid': '49/5937', 'text': 'Eric Medvet'}]",A Language and an Inference Engine for Twitter Filtering Rules.,WI,Null,614-617,2016,Conference and Workshop Papers,conf/webi/BartoliCFM16,10.1109/WI.2016.0107,https://doi.org/10.1109/WI.2016.0107,https://dblp.org/rec/conf/webi/BartoliCFM16,Null
17,2,1418870,URL#1418870,"[{'@pid': '84/3954', 'text': 'Tan Xu'}]",Microblogging Temporal Summarization - Filtering Important Twitter Updates for Breaking News.,Null,Null,Null,2015,Books and Theses,phd/basesearch/Xu15a,Null,http://hdl.handle.net/1903/18139,https://dblp.org/rec/phd/basesearch/Xu15a,Null
18,2,1464327,URL#1464327,"[{'@pid': '22/7512', 'text': 'Martin J. Chorley'}, {'@pid': '89/6497', 'text': 'Gualtiero B. Colombo'}, {'@pid': '45/2500', 'text': 'Stuart M. Allen'}, {'@pid': '41/3683', 'text': 'Roger M. Whitaker'}]",Human content filtering in Twitter - The influence of metadata.,Int. J. Hum. Comput. Stud.,74,32-40,2015,Journal Articles,journals/ijmms/ChorleyCAW15,10.1016/J.IJHCS.2014.10.001,https://doi.org/10.1016/j.ijhcs.2014.10.001,https://dblp.org/rec/journals/ijmms/ChorleyCAW15,Null
19,2,1531627,URL#1531627,"[{'@pid': '79/2854', 'text': 'Deyu Zhou'}, {'@pid': '82/353', 'text': 'Liangyu Chen'}, {'@pid': '75/5430', 'text': 'Yulan He'}]","An Unsupervised Framework of Exploring Events on Twitter - Filtering, Extraction and Categorization.",AAAI,Null,2468-2475,2015,Conference and Workshop Papers,conf/aaai/ZhouCH15,Null,http://www.aaai.org/ocs/index.php/AAAI/AAAI15/paper/view/9413,https://dblp.org/rec/conf/aaai/ZhouCH15,Null
20,2,1555859,URL#1555859,"[{'@pid': '150/5408', 'text': 'Payam Karisani'}, {'@pid': '32/3389', 'text': 'Farhad Oroumchian'}, {'@pid': '65/248', 'text': 'Maseud Rahgozar'}]",Tweet Expansion Method for Filtering Task in Twitter.,CLEF,Null,55-64,2015,Conference and Workshop Papers,conf/clef/KarisaniOR15,10.1007/978-3-319-24027-5_5,https://doi.org/10.1007/978-3-319-24027-5_5,https://dblp.org/rec/conf/clef/KarisaniOR15,Null
21,2,1625667,URL#1625667,"[{'@pid': '24/6180', 'text': 'De Wang'}, {'@pid': 'p/CaltonPu', 'text': 'Calton Pu'}]",BEAN - A BEhavior ANalysis Approach of URL Spam Filtering in Twitter.,IRI,Null,403-410,2015,Conference and Workshop Papers,conf/iri/WangP15,10.1109/IRI.2015.69,https://doi.org/10.1109/IRI.2015.69,https://dblp.org/rec/conf/iri/WangP15,Null
